order_id,order_date,product,category,region,sales_channel,quantity,unit_price,revenue,customer_id
ORD-103673,2024-01-01,Fountain Pen,Office Supplies,Europe,Online,2,20.79,41.58,CUST-3088
ORD-102441,2024-01-01,Water Bottle,Fitness,Asia Pacific,Online,5,12.05,60.25,CUST-1215
ORD-104690,2024-01-01,Ergonomic Chair,Furniture,Europe,Online,3,215.2,645.6,CUST-2212
ORD-101487,2024-01-01,USB-C Hub,Electronics,Asia Pacific,Retail Partner,5,35.33,176.65,CUST-3571
ORD-106301,2024-01-01,Whiteboard,Office Supplies,North America,Online,1,38.13,38.13,CUST-3431
ORD-102315,2024-01-01,Stapler,Office Supplies,North America,Direct Sales,4,8.02,32.08,CUST-1609
ORD-105082,2024-01-01,Sticky Notes Pack,Office Supplies,Europe,Online,3,4.25,12.75,CUST-2928
ORD-107362,2024-01-01,Stapler,Office Supplies,Latin America,Retail Partner,1,9.13,9.13,CUST-3285
ORD-102258,2024-01-01,Notebook Set,Office Supplies,North America,Online,3,9.62,28.86,CUST-1011
ORD-106905,2024-01-01,Webcam HD,Electronics,Europe,Online,2,41.74,83.48,CUST-2055
ORD-107005,2024-01-01,Standing Desk,Furniture,North America,Online,3,345.97,1037.91,CUST-3456
ORD-101408,2024-01-01,Notebook Set,Office Supplies,North America,Direct Sales,4,9.91,39.64,CUST-1580
ORD-105759,2024-01-01,Ergonomic Chair,Furniture,Asia Pacific,Retail Partner,4,218.2,872.8,CUST-2375
ORD-105461,2024-01-02,Foam Roller,Fitness,North America,Retail Partner,1,20.62,20.62,CUST-3304
ORD-101948,2024-01-02,Stapler,Office Supplies,Asia Pacific,Retail Partner,3,7.66,22.98,CUST-3164
ORD-106983,2024-01-02,Resistance Bands,Fitness,North America,Online,4,14.79,59.16,CUST-3569
ORD-104110,2024-01-02,Mechanical Keyboard,Electronics,Asia Pacific,Retail Partner,3,82.4,247.2,CUST-2697
ORD-104626,2024-01-02,Mechanical Keyboard,Electronics,North America,Online,2,70.83,141.66,CUST-3648
ORD-101912,2024-01-02,Mechanical Keyboard,Electronics,North America,Retail Partner,5,71.56,357.8,CUST-2268
ORD-107753,2024-01-02,Mechanical Keyboard,Electronics,Latin America,Online,2,77.35,154.7,CUST-3585
ORD-101481,2024-01-02,Whiteboard,Office Supplies,Europe,Retail Partner,5,39.51,197.55,CUST-1767
ORD-101995,2024-01-02,Bookshelf,Furniture,Asia Pacific,Retail Partner,4,83.1,332.4,CUST-1874
ORD-103190,2024-01-02,Mechanical Keyboard,Electronics,Asia Pacific,Retail Partner,5,71.26,356.3,CUST-3000
ORD-106740,2024-01-02,Ergonomic Chair,Furniture,Europe,Online,2,221.07,442.14,CUST-2271
ORD-107211,2024-01-03,Sticky Notes Pack,Office Supplies,Asia Pacific,Retail Partner,5,4.5,22.5,CUST-2490
ORD-106228,2024-01-03,Stapler,Office Supplies,Latin America,Retail Partner,5,7.78,38.9,CUST-3249
ORD-100900,2024-01-03,Wireless Mouse,Electronics,North America,Online,2,20.89,41.78,CUST-1942
ORD-106413,2024-01-03,Ergonomic Chair,Furniture,Asia Pacific,Online,5,220.63,1103.15,CUST-2546
ORD-101621,2024-01-03,Bookshelf,Furniture,Europe,Online,4,80.04,320.16,CUST-3316
ORD-107204,2024-01-03,Stapler,Office Supplies,Asia Pacific,Online,4,8.52,34.08,CUST-2847
ORD-106357,2024-01-03,Stapler,Office Supplies,North America,Direct Sales,2,8.36,16.72,CUST-2956
ORD-101236,2024-01-03,Sticky Notes Pack,Office Supplies,Asia Pacific,Retail Partner,4,4.95,19.8,CUST-2989
ORD-105169,2024-01-03,Mechanical Keyboard,Electronics,Asia Pacific,Retail Partner,1,80.14,80.14,CUST-2072
ORD-103233,2024-01-03,Stapler,Office Supplies,Europe,Direct Sales,1,8.08,8.08,CUST-2707
ORD-106056,2024-01-03,Whiteboard,Office Supplies,Europe,Direct Sales,3,38.99,116.97,CUST-2013
ORD-101549,2024-01-03,Foam Roller,Fitness,North America,Retail Partner,4,20.08,80.32,CUST-1967
ORD-102627,2024-01-03,Foam Roller,Fitness,North America,Retail Partner,3,20.44,61.32,CUST-3231
ORD-107066,2024-01-03,Standing Desk,Furniture,North America,Online,5,333.18,1665.9,CUST-1652
ORD-101738,2024-01-03,Mechanical Keyboard,Electronics,Asia Pacific,Direct Sales,2,81.75,163.5,CUST-1731
ORD-102788,2024-01-03,Water Bottle,Fitness,Europe,Online,5,13.02,65.1,CUST-3760
ORD-106520,2024-01-03,Fountain Pen,Office Supplies,Asia Pacific,Online,1,23.07,23.07,CUST-2010
ORD-101293,2024-01-03,Foam Roller,Fitness,Asia Pacific,Online,5,17.06,85.3,CUST-1254
ORD-107734,2024-01-04,Foam Roller,Fitness,Asia Pacific,Online,5,19.36,96.8,CUST-2307
ORD-100380,2024-01-04,Foam Roller,Fitness,North America,Online,4,20.25,81.0,CUST-1443
ORD-104597,2024-01-04,Sticky Notes Pack,Office Supplies,Europe,Retail Partner,3,4.78,14.34,CUST-1601
ORD-102645,2024-01-04,Wireless Mouse,Electronics,Asia Pacific,Online,2,20.1,40.2,CUST-1846
ORD-105296,2024-01-04,Whiteboard,Office Supplies,North America,Online,4,41.82,167.28,CUST-2960
ORD-103216,2024-01-04,Desk Lamp,Furniture,Asia Pacific,Direct Sales,3,24.66,73.98,CUST-3882
ORD-104054,2024-01-04,Stapler,Office Supplies,Europe,Direct Sales,1,8.58,8.58,CUST-2230
